HJD I_band I_Err
2.923813560000000052e+03 1.526900000000000013e+01 6.000000000000000125e-03
2.926866010000000188e+03 1.527599999999999980e+01 6.000000000000000125e-03
2.931794750000000022e+03 1.534600000000000009e+01 7.000000000000000146e-03
2.954770520000000033e+03 1.527100000000000080e+01 7.000000000000000146e-03
2.963746689999999944e+03 1.528400000000000070e+01 7.000000000000000146e-03
2.974820700000000215e+03 1.527200000000000024e+01 6.000000000000000125e-03
2.976680580000000191e+03 1.527999999999999936e+01 6.000000000000000125e-03
2.979664519999999811e+03 1.525399999999999956e+01 6.000000000000000125e-03
2.981685089999999946e+03 1.528700000000000081e+01 8.000000000000000167e-03
2.985784029999999802e+03 1.527899999999999991e+01 6.000000000000000125e-03
2.987740549999999985e+03 1.527200000000000024e+01 6.000000000000000125e-03
2.989680739999999787e+03 1.526699999999999946e+01 6.000000000000000125e-03
2.991754609999999957e+03 1.527200000000000024e+01 6.000000000000000125e-03
2.993760740000000169e+03 1.527399999999999913e+01 6.000000000000000125e-03
2.995836040000000139e+03 1.527999999999999936e+01 6.000000000000000125e-03
2.998752610000000004e+03 1.527999999999999936e+01 6.000000000000000125e-03
3.002752700000000004e+03 1.527599999999999980e+01 6.000000000000000125e-03
3.006738859999999931e+03 1.528100000000000058e+01 6.000000000000000125e-03
3.010799550000000181e+03 1.526299999999999990e+01 6.000000000000000125e-03
3.012805109999999786e+03 1.526600000000000001e+01 7.000000000000000146e-03
3.016749539999999797e+03 1.527699999999999925e+01 6.000000000000000125e-03
3.020843769999999950e+03 1.525900000000000034e+01 6.000000000000000125e-03
3.021868719999999939e+03 1.523099999999999987e+01 6.000000000000000125e-03
3.023730059999999867e+03 1.527399999999999913e+01 6.000000000000000125e-03
3.025733220000000074e+03 1.525500000000000078e+01 6.000000000000000125e-03
3.027751780000000053e+03 1.526299999999999990e+01 6.000000000000000125e-03
3.029736229999999978e+03 1.523399999999999999e+01 6.000000000000000125e-03
3.031808210000000145e+03 1.526200000000000045e+01 6.000000000000000125e-03
3.034633299999999963e+03 1.525399999999999956e+01 6.000000000000000125e-03
3.036663529999999810e+03 1.527399999999999913e+01 6.000000000000000125e-03
3.039605570000000171e+03 1.525699999999999967e+01 6.000000000000000125e-03
3.041688389999999799e+03 1.527500000000000036e+01 7.000000000000000146e-03
3.042713409999999840e+03 1.525600000000000023e+01 6.000000000000000125e-03
3.044652469999999994e+03 1.526399999999999935e+01 6.000000000000000125e-03
3.046638629999999921e+03 1.527500000000000036e+01 6.000000000000000125e-03
3.048671780000000126e+03 1.525699999999999967e+01 6.000000000000000125e-03
3.050663579999999911e+03 1.526200000000000045e+01 6.000000000000000125e-03
3.052665039999999863e+03 1.526900000000000013e+01 6.000000000000000125e-03
3.054670570000000225e+03 1.528700000000000081e+01 7.000000000000000146e-03
3.056658370000000104e+03 1.527299999999999969e+01 6.000000000000000125e-03
3.058651589999999942e+03 1.524900000000000055e+01 6.000000000000000125e-03
3.060701059999999870e+03 1.526299999999999990e+01 6.000000000000000125e-03
3.066588819999999942e+03 1.527699999999999925e+01 6.000000000000000125e-03
3.068616970000000038e+03 1.526500000000000057e+01 6.000000000000000125e-03
3.071515339999999924e+03 1.526600000000000001e+01 6.000000000000000125e-03
3.073705429999999978e+03 1.525799999999999912e+01 6.000000000000000125e-03
3.076628999999999905e+03 1.529299999999999926e+01 7.000000000000000146e-03
3.079631390000000010e+03 1.526800000000000068e+01 6.000000000000000125e-03
3.082698179999999866e+03 1.526800000000000068e+01 6.000000000000000125e-03
3.085601619999999912e+03 1.525300000000000011e+01 6.000000000000000125e-03
3.088558399999999892e+03 1.526299999999999990e+01 6.000000000000000125e-03
3.091562750000000051e+03 1.527299999999999969e+01 6.000000000000000125e-03
3.096609219999999823e+03 1.527299999999999969e+01 7.000000000000000146e-03
3.100520869999999832e+03 1.527699999999999925e+01 7.000000000000000146e-03
3.102644989999999780e+03 1.526200000000000045e+01 6.000000000000000125e-03
3.106560930000000099e+03 1.525600000000000023e+01 6.000000000000000125e-03
3.109545459999999821e+03 1.525699999999999967e+01 6.000000000000000125e-03
3.113562969999999950e+03 1.528100000000000058e+01 7.000000000000000146e-03
3.127520910000000185e+03 1.526800000000000068e+01 6.000000000000000125e-03
3.133536579999999958e+03 1.527800000000000047e+01 6.000000000000000125e-03
3.242885720000000219e+03 1.527399999999999913e+01 6.000000000000000125e-03
3.249852699999999913e+03 1.530400000000000027e+01 7.000000000000000146e-03
3.260844660000000204e+03 1.528899999999999970e+01 6.000000000000000125e-03
3.271835070000000087e+03 1.531000000000000050e+01 6.000000000000000125e-03
3.274838389999999890e+03 1.530000000000000071e+01 7.000000000000000146e-03
3.279792060000000220e+03 1.529899999999999949e+01 6.000000000000000125e-03
3.305762810000000172e+03 1.526399999999999935e+01 6.000000000000000125e-03
3.315857109999999921e+03 1.526800000000000068e+01 6.000000000000000125e-03
3.333821930000000066e+03 1.528800000000000026e+01 6.000000000000000125e-03
3.336663910000000214e+03 1.528700000000000081e+01 6.000000000000000125e-03
3.339845800000000054e+03 1.529599999999999937e+01 6.000000000000000125e-03
3.353747370000000046e+03 1.528700000000000081e+01 6.000000000000000125e-03
3.357774989999999889e+03 1.528500000000000014e+01 6.000000000000000125e-03
3.360752860000000055e+03 1.530400000000000027e+01 6.000000000000000125e-03
3.363827409999999873e+03 1.530000000000000071e+01 6.000000000000000125e-03
3.370784670000000006e+03 1.529700000000000060e+01 6.000000000000000125e-03
3.376736730000000080e+03 1.531199999999999939e+01 6.000000000000000125e-03
3.378761950000000070e+03 1.527800000000000047e+01 6.000000000000000125e-03
3.394645439999999780e+03 1.528400000000000070e+01 6.000000000000000125e-03
3.396671809999999823e+03 1.529899999999999949e+01 6.000000000000000125e-03
3.399799010000000180e+03 1.527800000000000047e+01 6.000000000000000125e-03
3.402709010000000035e+03 1.529199999999999982e+01 6.000000000000000125e-03
3.409557519999999840e+03 1.528899999999999970e+01 6.000000000000000125e-03
3.413556169999999838e+03 1.531199999999999939e+01 6.000000000000000125e-03
3.413600730000000112e+03 1.535200000000000031e+01 6.000000000000000125e-03
3.418548359999999775e+03 1.527100000000000080e+01 6.000000000000000125e-03
3.426544109999999819e+03 1.527399999999999913e+01 6.000000000000000125e-03
3.432529959999999846e+03 1.528700000000000081e+01 6.000000000000000125e-03
3.439506069999999909e+03 1.529700000000000060e+01 6.000000000000000125e-03
3.447531500000000051e+03 1.530899999999999928e+01 6.000000000000000125e-03
3.457508420000000115e+03 1.536500000000000021e+01 7.000000000000000146e-03
3.664858079999999973e+03 1.528800000000000026e+01 6.000000000000000125e-03
3.676717399999999998e+03 1.530100000000000016e+01 6.000000000000000125e-03
3.685787290000000212e+03 1.528400000000000070e+01 6.000000000000000125e-03
3.688721419999999853e+03 1.527599999999999980e+01 6.000000000000000125e-03
3.693697880000000168e+03 1.530300000000000082e+01 6.000000000000000125e-03
3.703805089999999836e+03 1.529400000000000048e+01 6.000000000000000125e-03
3.706680670000000191e+03 1.527899999999999991e+01 6.000000000000000125e-03
3.715780270000000201e+03 1.528200000000000003e+01 6.000000000000000125e-03
3.727862200000000030e+03 1.526099999999999923e+01 6.000000000000000125e-03
3.730758330000000115e+03 1.526500000000000057e+01 6.000000000000000125e-03
3.735675040000000081e+03 1.527299999999999969e+01 6.000000000000000125e-03
3.750798369999999977e+03 1.526699999999999946e+01 6.000000000000000125e-03
3.781745519999999942e+03 1.525600000000000023e+01 6.000000000000000125e-03
3.793547549999999774e+03 1.529199999999999982e+01 6.000000000000000125e-03
3.801537479999999960e+03 1.527100000000000080e+01 6.000000000000000125e-03
3.811530029999999897e+03 1.528999999999999915e+01 6.000000000000000125e-03
3.828493890000000192e+03 1.527100000000000080e+01 6.000000000000000125e-03
4.029826829999999973e+03 1.530100000000000016e+01 6.000000000000000125e-03
4.039693800000000010e+03 1.529400000000000048e+01 6.000000000000000125e-03
4.046865650000000187e+03 1.529499999999999993e+01 6.000000000000000125e-03
4.068842290000000048e+03 1.528899999999999970e+01 6.000000000000000125e-03
4.074803519999999935e+03 1.530400000000000027e+01 6.000000000000000125e-03
4.077852310000000216e+03 1.528999999999999915e+01 6.000000000000000125e-03
4.083718719999999848e+03 1.531199999999999939e+01 6.000000000000000125e-03
4.157561569999999847e+03 1.525900000000000034e+01 7.000000000000000146e-03
4.492750369999999748e+03 1.528400000000000070e+01 6.000000000000000125e-03
4.497754670000000260e+03 1.528299999999999947e+01 6.000000000000000125e-03
4.500627730000000156e+03 1.527399999999999913e+01 6.000000000000000125e-03
4.512740619999999581e+03 1.527200000000000024e+01 6.000000000000000125e-03
4.518689389999999548e+03 1.531099999999999994e+01 7.000000000000000146e-03
4.521726889999999912e+03 1.528700000000000081e+01 7.000000000000000146e-03
4.524626479999999901e+03 1.528100000000000058e+01 6.000000000000000125e-03
4.530652530000000297e+03 1.527200000000000024e+01 6.000000000000000125e-03
4.533618199999999888e+03 1.525600000000000023e+01 6.000000000000000125e-03
4.538635690000000068e+03 1.529400000000000048e+01 7.000000000000000146e-03
4.542542440000000170e+03 1.530599999999999916e+01 7.000000000000000146e-03
4.551518659999999727e+03 1.528100000000000058e+01 6.000000000000000125e-03
4.558579600000000028e+03 1.528100000000000058e+01 6.000000000000000125e-03
4.573535789999999906e+03 1.527599999999999980e+01 6.000000000000000125e-03
4.588504030000000057e+03 1.527599999999999980e+01 6.000000000000000125e-03
4.618470999999999549e+03 1.535100000000000087e+01 8.000000000000000167e-03
4.792825399999999718e+03 1.526500000000000057e+01 6.000000000000000125e-03
4.795779089999999997e+03 1.527500000000000036e+01 6.000000000000000125e-03
4.803716129999999794e+03 1.526600000000000001e+01 6.000000000000000125e-03
4.815775849999999991e+03 1.533500000000000085e+01 6.000000000000000125e-03
4.817773250000000189e+03 1.527599999999999980e+01 6.000000000000000125e-03
4.819782280000000355e+03 1.526600000000000001e+01 6.000000000000000125e-03
4.822762139999999818e+03 1.527699999999999925e+01 6.000000000000000125e-03
4.824780109999999695e+03 1.528700000000000081e+01 6.000000000000000125e-03
4.861760419999999613e+03 1.528299999999999947e+01 6.000000000000000125e-03
4.874641889999999876e+03 1.526999999999999957e+01 7.000000000000000146e-03
4.876685059999999794e+03 1.524000000000000021e+01 6.000000000000000125e-03
4.880632220000000416e+03 1.526299999999999990e+01 6.000000000000000125e-03
4.890562060000000201e+03 1.526699999999999946e+01 6.000000000000000125e-03
4.914579420000000027e+03 1.528299999999999947e+01 7.000000000000000146e-03
4.924595779999999650e+03 1.526600000000000001e+01 6.000000000000000125e-03
4.928585540000000037e+03 1.527200000000000024e+01 6.000000000000000125e-03
4.937552069999999730e+03 1.525600000000000023e+01 6.000000000000000125e-03
4.941565099999999802e+03 1.527999999999999936e+01 6.000000000000000125e-03
4.946561660000000302e+03 1.526900000000000013e+01 6.000000000000000125e-03
5.261661500000000160e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.262655529999999999e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.264624630000000252e+03 1.527289946896173056e+01 7.000000000000000146e-03
5.265624069999999847e+03 1.526789946896173156e+01 6.000000000000000125e-03
5.266618050000000039e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.267629839999999604e+03 1.526489946896173144e+01 6.000000000000000125e-03
5.268612210000000232e+03 1.527089946896173167e+01 6.000000000000000125e-03
5.269581589999999778e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.270583800000000338e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.271591099999999642e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.273579410000000280e+03 1.526389946896173200e+01 6.000000000000000125e-03
5.274610649999999623e+03 1.526889946896173100e+01 6.000000000000000125e-03
5.276590040000000045e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.279578180000000430e+03 1.526489946896173144e+01 6.000000000000000125e-03
5.281568339999999807e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.282572940000000017e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.285562969999999950e+03 1.526389946896173200e+01 7.000000000000000146e-03
5.287556559999999990e+03 1.527689946896173190e+01 7.000000000000000146e-03
5.290492949999999837e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.293488860000000386e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.295517679999999928e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.296592880000000150e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.297540469999999914e+03 1.534789946896173163e+01 6.000000000000000125e-03
5.299523049999999785e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.301546080000000075e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.305543719999999666e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.307480099999999766e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.308550129999999626e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.309570899999999710e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.311537119999999959e+03 1.526589946896173089e+01 7.000000000000000146e-03
5.313519690000000082e+03 1.526689946896173034e+01 7.000000000000000146e-03
5.315500409999999647e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.321486909999999625e+03 1.526989946896173045e+01 7.000000000000000146e-03
5.322497040000000197e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.324501379999999699e+03 1.527089946896173167e+01 6.000000000000000125e-03
5.326508869999999661e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.327498880000000099e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.335489330000000336e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.342489510000000337e+03 1.526389946896173200e+01 7.000000000000000146e-03
5.430931529999999839e+03 1.527689946896173190e+01 8.000000000000000167e-03
5.443868660000000091e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.448900109999999586e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.451843200000000252e+03 1.528489946896173102e+01 7.000000000000000146e-03
5.454892460000000028e+03 1.527889946896173079e+01 6.000000000000000125e-03
5.457787049999999908e+03 1.527989946896173201e+01 6.000000000000000125e-03
5.461864899999999579e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.465884130000000368e+03 1.528089946896173146e+01 7.000000000000000146e-03
5.467866970000000038e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.468855969999999616e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.470831000000000131e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.471878600000000006e+03 1.528489946896173102e+01 6.000000000000000125e-03
5.473813439999999900e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.477816579999999703e+03 1.527289946896173056e+01 5.000000000000000104e-03
5.478838389999999890e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.481762249999999767e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.482891810000000078e+03 1.528389946896173157e+01 7.000000000000000146e-03
5.483795189999999820e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.484807639999999992e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.486789370000000417e+03 1.528489946896173102e+01 6.000000000000000125e-03
5.487790610000000015e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.488862339999999676e+03 1.527889946896173079e+01 5.000000000000000104e-03
5.490854250000000320e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.491842279999999846e+03 1.528489946896173102e+01 6.000000000000000125e-03
5.492846349999999802e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.494737329999999929e+03 1.535189946896173119e+01 6.000000000000000125e-03
5.495866579999999885e+03 1.526889946896173100e+01 6.000000000000000125e-03
5.499810620000000199e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.506776230000000396e+03 1.528389946896173157e+01 6.000000000000000125e-03
5.509803609999999935e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.511742919999999685e+03 1.527089946896173167e+01 6.000000000000000125e-03
5.513771200000000135e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.515706040000000030e+03 1.528389946896173157e+01 6.000000000000000125e-03
5.517704819999999927e+03 1.526889946896173100e+01 6.000000000000000125e-03
5.521744480000000294e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.523823430000000371e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.526716389999999592e+03 1.527989946896173201e+01 6.000000000000000125e-03
5.528772939999999835e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.529841309999999794e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.530793270000000120e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.531754630000000361e+03 1.527289946896173056e+01 5.000000000000000104e-03
5.533686779999999999e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.534804900000000089e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.535838630000000194e+03 1.527389946896173178e+01 7.000000000000000146e-03
5.539858140000000276e+03 1.526489946896173144e+01 6.000000000000000125e-03
5.542688369999999850e+03 1.528389946896173157e+01 6.000000000000000125e-03
5.543848649999999907e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.544843909999999596e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.546675150000000031e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.548793150000000423e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.550764989999999671e+03 1.526889946896173100e+01 6.000000000000000125e-03
5.553806669999999940e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.554825369999999566e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.556787650000000212e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.557785869999999704e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.558794530000000123e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.560823459999999614e+03 1.526789946896173156e+01 6.000000000000000125e-03
5.561778650000000198e+03 1.527089946896173167e+01 6.000000000000000125e-03
5.562823840000000018e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.563784349999999904e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.565811289999999644e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.568819950000000063e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.569862850000000435e+03 1.527089946896173167e+01 6.000000000000000125e-03
5.571810859999999593e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.575777130000000398e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.576824440000000322e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.577785289999999804e+03 1.527889946896173079e+01 6.000000000000000125e-03
5.578782100000000355e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.579815220000000409e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.580760970000000270e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.581763380000000325e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.583778430000000299e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.584711970000000292e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.585799399999999878e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.587708050000000185e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.589766969999999674e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.590788190000000213e+03 1.528189946896173090e+01 6.000000000000000125e-03
5.592790070000000014e+03 1.526289946896173078e+01 6.000000000000000125e-03
5.593707269999999880e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.594772399999999834e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.595735249999999724e+03 1.527589946896173068e+01 5.000000000000000104e-03
5.596765489999999772e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.597734770000000026e+03 1.527589946896173068e+01 5.000000000000000104e-03
5.598744370000000345e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.599759109999999964e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.600758679999999913e+03 1.526489946896173144e+01 6.000000000000000125e-03
5.601752199999999903e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.602742460000000392e+03 1.527089946896173167e+01 5.000000000000000104e-03
5.604747080000000096e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.605750680000000102e+03 1.527689946896173190e+01 5.000000000000000104e-03
5.608727499999999964e+03 1.526889946896173100e+01 7.000000000000000146e-03
5.609737070000000131e+03 1.527889946896173079e+01 6.000000000000000125e-03
5.611723589999999604e+03 1.526789946896173156e+01 6.000000000000000125e-03
5.612722370000000410e+03 1.527789946896173134e+01 7.000000000000000146e-03
5.615683920000000398e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.623627929999999651e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.625660719999999856e+03 1.526089946896173188e+01 6.000000000000000125e-03
5.627657079999999951e+03 1.526789946896173156e+01 6.000000000000000125e-03
5.630638049999999566e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.632601410000000214e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.634612860000000182e+03 1.527789946896173134e+01 6.000000000000000125e-03
5.638604709999999614e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.640569880000000012e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.642546089999999822e+03 1.527089946896173167e+01 5.000000000000000104e-03
5.644546400000000176e+03 1.527289946896173056e+01 5.000000000000000104e-03
5.646542099999999664e+03 1.526189946896173133e+01 6.000000000000000125e-03
5.648544920000000275e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.650574620000000323e+03 1.526689946896173034e+01 6.000000000000000125e-03
5.653592050000000199e+03 1.526889946896173100e+01 5.000000000000000104e-03
5.655570929999999862e+03 1.527189946896173112e+01 6.000000000000000125e-03
5.657570069999999760e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.659590060000000449e+03 1.527489946896173123e+01 6.000000000000000125e-03
5.667544909999999618e+03 1.527989946896173201e+01 6.000000000000000125e-03
5.668534660000000258e+03 1.528189946896173090e+01 6.000000000000000125e-03
5.671547959999999875e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.674554110000000037e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.675545399999999972e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.677543899999999667e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.681521709999999985e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.683525340000000142e+03 1.527289946896173056e+01 6.000000000000000125e-03
5.686518479999999727e+03 1.527589946896173068e+01 6.000000000000000125e-03
5.687504649999999856e+03 1.526989946896173045e+01 6.000000000000000125e-03
5.692489300000000185e+03 1.527789946896173134e+01 7.000000000000000146e-03
5.695496839999999793e+03 1.527689946896173190e+01 6.000000000000000125e-03
5.697498830000000453e+03 1.526589946896173089e+01 6.000000000000000125e-03
5.700496339999999691e+03 1.527789946896173134e+01 7.000000000000000146e-03
5.787898890000000392e+03 1.528089946896173146e+01 6.000000000000000125e-03
5.802893509999999878e+03 1.527389946896173178e+01 6.000000000000000125e-03
5.805869179999999687e+03 1.528289946896173035e+01 6.000000000000000125e-03
5.807915740000000369e+03 1.528189946896173090e+01 6.000000000000000125e-03
5.810884780000000319e+03 1.527889946896173079e+01 6.000000000000000125e-03
5.813856740000000173e+03 1.528889946896173058e+01 5.000000000000000104e-03
5.817881269999999859e+03 1.527989946896173201e+01 5.000000000000000104e-03
